wof:id,gp:id
538865761,22503968
538865759,22503885
538865763,22503969
504784785,22503998
504785003,22503764
504785001,22503724
504784787,22503828
504785005,22503762
504784789,22503734
504785009,22503746
504784793,22503872
504785011,22503701
538967365,12797588
538966839,23509918
504784795,22503739
538967371,23509774
538966841,23509920
538967375,12759506
538966843,23509927
554698081,12759323
538967377,12760883
538966847,23509928
538967379,12761222
538966849,23509940
538966851,23509942
554697329,12758646
504785013,22503771
538966859,23509981
504784797,22503825
504785015,22503702
554698083,12759324
538966867,23509995
504784799,24505083
538966869,23509996
538966873,23510026
538966875,23510028
554698087,12759326
538966877,23510029
538966879,23510054
554704001,12763971
538966883,23510055
538966885,23510056
538966887,23510060
538966889,23510061
504785017,22503839
538889485,22503843
421385677,22503889
504785019,22503787
538889487,22503848
504784803,22503774
421385681,22503892
504785021,22503744
504784801,22503732
538889489,22503850
504785023,22503760
421385683,22503894
538889491,22503880
504785027,22503769
554703001,12763313
554705027,12764641
554703005,12763315
421385685,22503896
538889493,22503842
504784805,22503803
554709003,12767872
554705029,12764646
554703009,12763317
504785029,22503807
421385687,22503898
504784807,22503772
538889495,22503844
554703011,12763319
554705031,12764647
554703013,12763322
554710001,12768634
554706001,12765315
504785031,22503756
504784811,22503822
421385689,22503903
554708017,12767134
554703015,12763326
421385675,22503887
538966891,23510062
504785033,22503755
504784813,22503806
538889497,22503845
538966901,23510067
504785035,22503815
504784815,22503770
554703017,12763331
421385693,22503901
538966911,23510105
538966915,12767653
538889501,22503846
538966919,12768045
504784817,22503834
538966925,12768090
554703025,12763334
538966927,12768173
538966929,12768236
538966931,12768237
538966933,12768403
538966937,12768480
554703027,12763335
538966939,12768487
538966941,12768611
538966943,12768682
538966945,12768757
538966947,12768811
538966949,12768812
538966951,12768819
538966955,12768865
554703029,12763336
538966957,12794321
538966959,23509667
538966961,12763756
538966963,23509703
538966965,12766053
554715001,12772781
538966967,12767903
554703031,12763337
538966969,12767977
538966973,12767981
538966975,12768039
538966977,23509787
554703033,12763338
538966979,23509792
538966981,23509801
538966983,23424602
554703035,12763340
538966985,12774279
538966987,12775606
554703037,12763341
554716001,12773462
538966991,12777131
538966993,12786064
538966995,12787192
538966997,12787194
554703041,12763342
538966999,12787196
504785037,22503818
421385695,22503890
538889503,22503847
554703043,12763343
554715003,12772784
554703053,12763348
554717001,12774100
554703055,12763349
554716003,12773463
554702001,12762600
554716005,12773465
554715005,12772785
554703059,12763350
504784819,22503827
504785039,22503726
554718001,12774704
421385699,22503899
554715007,12772791
554703061,12763351
554716007,12773466
554703063,12763352
554703065,12763353
554703067,12763354
554703069,12763357
554702003,12762602
554702005,12762603
554716009,12773467
421385691,22503905
554697331,12758650
504784823,22503876
538889505,22503849
421385701,22503895
538889507,22503879
504785045,24505077
504784825,15003032
421385703,22503902
538889509,22503881
554721007,12776653
554697343,12758660
554721009,12776654
554705033,12764648
554697345,12758662
554721011,12776655
554722005,12777312
554721013,12776656
504785047,22503753
504784829,15003077
554697347,12758666
554703071,12763374
554697357,12758672
554697359,12758679
554713001,12770703
554721015,12776657
554705035,12764649
554721017,12776659
538889511,22503882
504785049,22503751
504784831,22503809
538889513,22503883
554705039,12764650
504785051,22503733
421385707,22503900
504784833,22503752
554703073,12763378
554713003,12770705
421385705,22503904
554724001,12778634
504785053,24505079
421385709,22503891
538889515,22503884
538889519,24553936
421385711,22503893
504785055,22503812
504784835,22503766
504785057,24505081
421385713,22503886
504784837,24505089
504785059,24505082
421385717,22503897
504784839,22503804
504785041,24505076
421385719,29389551
504784841,22503736
421385721,22503888
504785063,22503805
504785065,24505084
504784843,22503735
504785067,24505085
504784847,22503729
504784849,22503810
421527135,22503967
554736003,12785734
504785069,24505086
554738005,12786783
554715013,12772794
554738007,12786784
554738009,12786786
554738011,12786788
538967381,12767001
538967383,12772463
554734003,12784625
538967387,12776939
554715015,12772797
538967389,23509930
554738015,12786790
538967391,23509931
538967393,12780955
538967395,23509967
538967397,23509968
538967399,12784443
538967401,12768460
538967405,12767980
538967407,23509755
538967409,12768515
538967411,12775459
538967413,12771323
554734005,12784626
538967415,12779919
538967417,12780279
538967419,26814749
538967423,12793953
554738017,12786791
554706005,12765318
554715017,12772825
554738019,12786792
554739001,12787288
554738021,12786793
554739005,12787289
554738023,12786794
554734007,12784627
554738025,12786795
554706011,12765320
554739007,12787290
554715019,12772826
554734009,12784628
554738027,12786796
554706013,12765321
554738029,12786797
554709005,12767873
554712017,12770034
554734011,12784629
554715021,12772830
554738033,12786798
554738035,12786799
554715023,12772831
554738037,12786800
538967425,12793959
554712019,12770035
538967427,12793962
538967429,12793965
538967431,12768068
554739009,12787291
538967433,12764519
538967435,12769251
538967437,12775631
538967441,12793367
538967443,12771043
538967445,12775379
538967447,23509850
538967449,23510090
538967451,12782742
538967453,12787573
554732017,12783336
538967455,12796286
538967459,12794556
504784853,22503777
504785071,22503748
538967465,12761377
504784855,22503757
538967471,12773918
504785073,22503768
538967477,26814980
538967479,12758576
538967481,12758578
538967483,12758775
538967485,12758781
538967487,12758785
538967489,23509620
554740003,12787784
538967491,12760411
538967495,12760553
538967497,12760556
554739011,12787292
538967499,12760699
538967501,12760706
538967503,12760770
554706015,12765322
538967505,12760975
538967507,12761376
538967509,12761566
538967513,12761567
554739013,12787294
538967515,23509655
504784859,22503775
504785075,22503747
504785077,24505087
504784861,22503781
504785081,22503721
504784865,22503719
504785083,22503723
504784867,22503811
554745003,12790859
504784857,22503745
504785085,22503794
